id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
38071819,Chambre La Queen III  vue Avenue St-Narcisse,130785748,Myrline,,Maizerets,46.84971,-71.23197,Private room,49,32,6,2019-09-02,0.27,12,0
38103663,Chambre calme chez Ben,45513795,Ben,,Quartier 5-4,46.86976,-71.18942,Private room,40,1,2,2021-05-06,0.10,2,0
38121603,Logement dans Maizerets (Limoilou),42526334,Amélie,,Maizerets,46.83736,-71.22007,Entire home/apt,65,2,6,2021-06-27,0.28,2,119
38131734,Appartement Confortable,285840276,Francine,,Saint-Émile,46.87344,-71.33548,Entire home/apt,80,3,23,2020-07-06,1.02,1,315
38137198,Friendly apartment,289755751,Arthur,,Saint-Roch,46.81306,-71.22772,Entire home/apt,500,1,50,2020-02-03,2.34,1,306
38156639,Double et Paisible St-Narcisse II,130785748,Myrline,,Vieux-Moulin,46.85114,-71.23067,Private room,44,32,1,2019-12-29,0.05,12,0
38184952,Old Quebec·WIFI·TV·Convention Center·St-Jean,290158942,Jonathan,,Saint-Jean-Baptiste,46.81248,-71.21792,Entire home/apt,77,1,16,2021-02-04,0.79,1,347
38185474,Confort et tranquillité sur le Boulevard Laurier,290162457,Miguel,,Sillery,46.78242,-71.25715,Private room,32,31,1,2019-10-19,0.05,1,340
38190316,La maison de tata Gerardine,215443411,Gérardine,,Loretteville,46.84608,-71.36088,Entire home/apt,111,1,1,2020-02-16,0.06,1,0
38253009,⚜️ Maison patrimoniale William 1er ⚜️ (#300709),75740727,Audrey,,Quartier 5-4,46.85882,-71.1914,Entire home/apt,267,2,88,2020-07-19,4.07,2,280
